country,Code,co2_year,co2_per_capita,life_year,life_expectancy
Afghanistan,AFG,2024,0.25384834,2023,66.0346
Albania,ALB,2024,1.5919901,2023,79.6019
Algeria,DZA,2024,4.233817,2023,76.261
Andorra,AND,2024,5.1816607,2023,84.0406
Angola,AGO,2024,0.5894967,2023,64.617
Antigua and Barbuda,ATG,2024,7.092406,2023,77.5976
Argentina,ARG,2024,3.7434063,2023,77.3947
Armenia,ARM,2024,2.498691,2023,75.6827
Australia,AUS,2024,14.477199,2023,83.9228
Austria,AUT,2024,6.180112,2023,81.9559
Azerbaijan,AZE,2024,3.8533201,2023,74.4286
Bahamas,BHS,2024,7.64968,2023,74.5518
Bahrain,BHR,2024,24.270082,2023,81.2835
Bangladesh,BGD,2024,0.6240862,2023,74.6723
Barbados,BRB,2024,4.8328743,2023,76.1782
Belarus,BLR,2024,6.163221,2023,74.4339
Belgium,BEL,2024,7.2798314,2023,82.115
Belize,BLZ,2024,1.9085852,2023,73.5656
Benin,BEN,2024,0.4194466,2023,60.7738
Bhutan,BTN,2024,2.0939395,2023,72.9753
Bolivia,BOL,2024,2.3127308,2023,68.5814
Bosnia and Herzegovina,BIH,2024,6.1391783,2023,77.8504
Botswana,BWA,2024,2.9596071,2023,69.1631
Brazil,BRA,2024,2.2783718,2023,75.8482
Brunei,BRN,2024,26.046202,2023,75.3266
Bulgaria,BGR,2024,4.6793866,2023,75.6363
Burkina Faso,BFA,2024,0.27634817,2023,61.092
Burundi,BDI,2024,0.065253265,2023,63.6511
Cambodia,KHM,2024,1.2405994,2023,70.6675
Cameroon,CMR,2024,0.33071235,2023,63.6996
Canada,CAN,2024,13.419917,2023,82.6302
Cape Verde,CPV,2024,1.1312839,2023,76.0587
Central African Republic,CAF,2024,0.07403937,2023,57.4077
Chad,TCD,2024,0.13948385,2023,55.0692
Chile,CHL,2024,3.983124,2023,81.1667
China,CHN,2024,8.65839,2023,77.9529
Colombia,COL,2024,1.752047,2023,77.7246
Comoros,COM,2024,0.6365447,2023,66.7768
Congo,COG,2024,1.3958335,2023,65.772
Costa Rica,CRI,2024,1.7077205,2023,80.7995
Cote d'Ivoire,CIV,2024,0.46434766,2023,61.9438
Croatia,HRV,2024,4.764723,2023,78.5803
Cuba,CUB,2024,2.225931,2023,78.0855
Cyprus,CYP,2024,5.373922,2023,81.648
Czechia,CZE,2024,7.043965,2023,79.8341
Democratic Republic of Congo,COD,2024,0.05403233,2023,61.895
Denmark,DNK,2024,4.746057,2023,81.9328
Djibouti,DJI,2024,0.48264864,2023,65.9865
Dominica,DMA,2024,2.5799234,2023,71.1325
Dominican Republic,DOM,2024,2.8992038,2023,73.7201
East Timor,TLS,2024,0.47700548,2023,67.6894
Ecuador,ECU,2024,2.535337,2023,77.3924
Egypt,EGY,2024,2.2170217,2023,71.6335
El Salvador,SLV,2024,1.4155904,2023,72.0993
Equatorial Guinea,GNQ,2024,3.704236,2023,63.7071
Eritrea,ERI,2024,0.21004777,2023,68.6239
Estonia,EST,2024,6.105464,2023,79.1535
Eswatini,SWZ,2024,0.8405372,2023,64.1227
Ethiopia,ETH,2024,0.13506985,2023,67.315
Fiji,FJI,2024,1.5561111,2023,67.3157
Finland,FIN,2024,5.300579,2023,81.9102
France,FRA,2024,3.969368,2023,83.3253
Gabon,GAB,2024,2.126386,2023,68.3367
Gambia,GMB,2024,0.29086024,2023,65.8603
Georgia,GEO,2024,3.0948753,2023,74.4965
Germany,DEU,2024,6.7688236,2023,81.3777
Ghana,GHA,2024,0.6106143,2023,65.4979
Greece,GRC,2024,5.310692,2023,81.8568
Greenland,GRL,2024,11.079819,2023,70.055
Grenada,GRD,2024,3.2159822,2023,75.2052
Guatemala,GTM,2024,1.0800844,2023,72.6023
Guinea,GIN,2024,0.27287328,2023,60.7405
Guinea-Bissau,GNB,2024,0.15544437,2023,64.0849
Guyana,GUY,2024,5.4269924,2023,70.1802
Haiti,HTI,2024,0.2523404,2023,64.9356
Honduras,HND,2024,1.187437,2023,72.8842
Hungary,HUN,2024,4.135669,2023,77.024
Iceland,ISL,2024,9.666935,2023,82.6911
India,IND,2024,2.2009783,2023,72.0026
Indonesia,IDN,2024,2.8650963,2023,71.1457
Iran,IRN,2024,8.656227,2023,77.6545
Iraq,IRQ,2024,5.074398,2023,72.3242
Ireland,IRL,2024,6.3388243,2023,82.4118
Israel,ISR,2024,5.6074414,2023,82.408
Italy,ITA,2024,5.087886,2023,83.7157
Jamaica,JAM,2024,2.9592197,2023,71.4789
Japan,JPN,2024,7.7724743,2023,84.7123
Jordan,JOR,2024,2.009813,2023,77.8145
Kazakhstan,KAZ,2024,13.937352,2023,74.4021
Kenya,KEN,2024,0.37611777,2023,63.6459
Kiribati,KIR,2024,0.5386222,2023,66.4731
Kosovo,OWID_KOS,2024,4.777991,2023,78.0326
Kuwait,KWT,2024,26.24753,2023,80.4047
Kyrgyzstan,KGZ,2024,1.6379259,2023,71.677
Laos,LAO,2024,3.140345,2023,68.9637
Latvia,LVA,2024,3.4520962,2023,76.1898
Lebanon,LBN,2024,2.6955004,2023,77.817
Lesotho,LSO,2024,1.100255,2023,57.3749
Liberia,LBR,2024,0.15310843,2023,62.1625
Libya,LBY,2024,8.841596,2023,69.3389
Liechtenstein,LIE,2024,3.2992606,2023,83.6298
Lithuania,LTU,2024,4.386505,2023,76.025
Luxembourg,LUX,2024,10.459649,2023,82.2294
Madagascar,MDG,2024,0.14166704,2023,63.6317
Malawi,MWI,2024,0.08688312,2023,67.3535
Malaysia,MYS,2024,8.16206,2023,76.6571
Maldives,MDV,2024,4.3694687,2023,81.0412
Mali,MLI,2024,0.2850997,2023,60.4394
Malta,MLT,2024,3.2037206,2023,83.2989
Marshall Islands,MHL,2024,4.1115723,2023,66.9454
Mauritania,MRT,2024,1.0134012,2023,68.4836
Mauritius,MUS,2024,3.6766226,2023,74.9263
Mexico,MEX,2024,3.5227275,2023,75.069
