country,Code,Year,co2_per_capita,life_expectancy,gdp_per_capita,energy_per_capita
Afghanistan,AFG,2022,0.25062045,65.617,1357.9878,1111.5725
Albania,ALB,2022,1.5908402,78.7688,12978.101,9147.205
Algeria,DZA,2022,4.238998,76.1289,13506.444,16145.337
Angola,AGO,2022,0.59180546,64.2455,6118.905,2713.8245
Argentina,ARG,2022,4.047052,75.8061,18292.318,22049.938
Armenia,ARM,2022,2.6723685,74.6333,13837.577,17722.293
Australia,AUS,2022,14.65893,82.7662,52049.43,63386.535
Austria,AUT,2022,6.779517,81.2959,43792.855,42122.105
Azerbaijan,AZE,2022,3.999354,74.125,17682.94,20425.451
Bahrain,BHR,2022,24.66764,80.9921,38651.6,161782.95
Bangladesh,BGD,2022,0.6030491,74.2647,4925.721,3023.7288
Barbados,BRB,2022,4.6577086,75.6761,11545.848,19859.146
Belarus,BLR,2022,6.226867,74.3612,18699.799,33086.91
Belgium,BEL,2022,7.6375527,81.1589,41872.395,59651.605
Benin,BEN,2022,0.44276863,60.4751,2477.0903,1841.3295
Bolivia,BOL,2022,1.9448458,67.4342,6481.3906,8554.576
Bosnia and Herzegovina,BIH,2022,6.4724236,76.7772,12142.863,28264.172
Botswana,BWA,2022,3.0311775,68.7487,16351.91,12002.065
Brazil,BRA,2022,2.2826612,74.8719,14640.076,17744.193
Bulgaria,BGR,2022,6.8755846,74.0342,20592.455,33606.043
Burkina Faso,BFA,2022,0.29064742,60.7,1704.966,1011.84033
Burundi,BDI,2022,0.06587466,62.8819,717.22845,273.35468
Cambodia,KHM,2022,1.2129679,70.528,3944.2468,3826.666
Cameroon,CMR,2022,0.3543776,62.4428,2812.2148,1320.1124
Canada,CAN,2022,14.107159,81.2493,45529.645,102122.42
Cape Verde,CPV,2022,1.1498797,75.9068,7202.767,5740.3887
Central African Republic,CAF,2022,0.07402691,18.8177,596.393,275.47107
Chad,TCD,2022,0.15173951,54.5275,1393.5635,448.06906
Chile,CHL,2022,4.385191,79.1762,22740.72,25750.754
China,CHN,2022,8.217776,78.2021,19238.18,31235.707
Colombia,COL,2022,1.7286528,76.5081,14468.964,12123.15
Comoros,COM,2022,0.63734925,66.4806,1900.3983,2068.1792
Congo,COG,2022,1.446125,65.0003,4187.507,2162.773
Costa Rica,CRI,2022,1.5762514,79.3164,15496.82,9135.139
Cote d'Ivoire,CIV,2022,0.47719425,61.5622,4011.7122,2575.372
Croatia,HRV,2022,4.500902,78.2779,26986.752,23846.066
Cuba,CUB,2022,2.1029758,77.6291,7648.704,7764.905
Cyprus,CYP,2022,5.3108797,80.4337,31523.498,23790.744
Czechia,CZE,2022,8.904502,79.1648,32247.395,42043.363
Democratic Republic of Congo,COD,2022,0.057544336,60.9789,844.172,363.37082
Denmark,DNK,2022,4.9288173,81.2906,50689.68,32903.926
Djibouti,DJI,2022,0.4840291,65.5402,3623.0603,2925.7346
Dominica,DMA,2022,2.4663935,71.0806,8879.6455,10770.691
Dominican Republic,DOM,2022,2.7802987,74.2108,17713.52,11799.487
Ecuador,ECU,2022,2.36007,76.5767,10124.076,12495.487
Egypt,EGY,2022,2.2189891,71.0097,13205.406,9857.579
El Salvador,SLV,2022,1.2599217,71.9695,9218.905,6867.6045
Equatorial Guinea,GNQ,2022,4.1567073,63.3545,22707.22,15718.9
Estonia,EST,2022,8.863261,78.1674,30067.395,46890.336
Eswatini,SWZ,2022,0.8435616,63.0283,8522.45,5134.687
Ethiopia,ETH,2022,0.13526215,66.8971,2289.409,642.3783
Finland,FIN,2022,6.5245185,81.2435,40701.465,57499.42
France,FRA,2022,4.4555726,82.4753,39065.71,34796.047
Gabon,GAB,2022,2.3792052,67.713,15720.901,6504.1045
Gambia,GMB,2022,0.3064694,64.859,2010.5322,796.3427
Georgia,GEO,2022,3.1622012,74.1409,14360.359,17845.229
Germany,DEU,2022,7.942359,80.5796,46647.793,41094.125
Ghana,GHA,2022,0.6258142,65.246,4242.4106,3110.591
Greece,GRC,2022,5.532692,79.9441,25283.906,30188.217
Guatemala,GTM,2022,1.0596977,71.2064,7969.431,5353.738
Guinea,GIN,2022,0.2883205,60.4316,1809.2666,1532.6326
Guinea-Bissau,GNB,2022,0.16357648,63.6045,1625.3876,685.23444
Haiti,HTI,2022,0.2495167,63.9483,1546.4222,1049.0549
Honduras,HND,2022,1.1221477,72.7151,5186.5303,5066.2905
Hungary,HUN,2022,4.674298,76.2118,29451.855,27575.229
Iceland,ISL,2022,9.458432,81.5877,42145.594,167531.62
India,IND,2022,1.9861692,71.6984,7765.593,7057.1865
Indonesia,IDN,2022,2.7185707,70.9246,12801.671,9859.904
Iran,IRN,2022,8.569505,76.7993,18473.066,38985.188
Iraq,IRQ,2022,4.9385333,72.0371,13071.94,15429.901
Ireland,IRL,2022,7.177214,82.0505,60257.082,36487.48
Israel,ISR,2022,6.8401985,82.8145,36648.918,33816.67
Italy,ITA,2022,5.704794,82.052,36224.293,29444.67
Jamaica,JAM,2022,2.7852037,71.4809,7481.6685,11773.948
Japan,JPN,2022,8.237319,84.0541,38268.79,39974.945
Jordan,JOR,2022,1.9924614,77.088,9151.479,9883.87
Kazakhstan,KAZ,2022,13.693581,73.5028,26491.857,40893.367
Kenya,KEN,2022,0.37868083,63.5491,3403.9238,1609.9459
Kuwait,KWT,2022,25.242083,78.7881,71533.516,102111.33
Kyrgyzstan,KGZ,2022,1.6551521,71.487,5304.841,7569.569
Laos,LAO,2022,2.9830346,68.7152,7168.1904,8552.412
Latvia,LVA,2022,3.5129132,74.8706,27220.303,20474.271
Lebanon,LBN,2022,2.6739883,78.0029,10341.159,12473.167
Lesotho,LSO,2022,1.1160188,56.8119,2312.9583,2108.4802
Liberia,LBR,2022,0.16075158,61.9342,811.2146,531.1616
Libya,LBY,2022,8.163843,74.4615,12755.204,30359.734
Lithuania,LTU,2022,4.5777125,74.696,30863.32,23098.156
Luxembourg,LUX,2022,11.134566,82.2007,55484.777,59423.344
Madagascar,MDG,2022,0.13830549,63.0677,1367.0938,544.34326
Malawi,MWI,2022,0.08757896,66.037,1190.0509,535.8544
Malaysia,MYS,2022,8.124508,75.4442,26628.707,39068.727
Mali,MLI,2022,0.3042441,60.0347,1651.9413,1268.7509
Malta,MLT,2022,3.3590784,82.2496,34496.34,71835.62
Mauritania,MRT,2022,1.0803561,68.2807,3680.3662,4159.3027
Mauritius,MUS,2022,3.3826706,73.5445,20643.094,16850.51
Mexico,MEX,2022,3.5284045,73.9731,16235.455,17858.697
Moldova,MDA,2022,1.7018101,71.5465,6674.871,12261.839
Mongolia,MNG,2022,11.944179,71.5049,13442.906,15471.304
Montenegro,MNE,2022,4.0595264,75.9214,20941.805,18506.336
Morocco,MAR,2022,1.8693061,75.1614,8400.127,7146.277
Mozambique,MOZ,2022,0.28465265,63.0115,1087.836,1720.9512
Myanmar,MMR,2022,0.58855194,66.5058,5177.4326,2488.8708
Namibia,NAM,2022,1.181398,64.1903,7979.328,6222.074
Nepal,NPL,2022,0.5925866,70.0869,3013.5178,1873.6637
Netherlands,NLD,2022,7.1213217,81.9121,49669.867,53288.39
New Zealand,NZL,2022,6.229061,81.0061,38250.12,45347.203
Nicaragua,NIC,2022,0.7623672,74.4626,5092.8413,3190.3118
Niger,NER,2022,0.12645128,60.3981,1007.72095,532.96545
Nigeria,NGA,2022,0.58902264,54.079,5070.4927,2319.8962
North Korea,PRK,2022,2.13794,73.6411,1568.847,6909.168
North Macedonia,MKD,2022,3.9952326,76.6455,14050.995,16701.213
Norway,NOR,2022,7.4829626,82.6309,88366.22,97780.37
Oman,OMN,2022,16.488375,77.9106,47988.65,89754.836
Pakistan,PAK,2022,0.8697954,67.4167,5531.723,4017.639
Palestine,PSE,2022,0.8862943,76.6624,4775.202,4379.497
Panama,PAN,2022,2.6602929,79.3241,23557.02,23285.066
Paraguay,PRY,2022,1.1143297,72.3185,8762.771,7732.6597
Peru,PER,2022,1.9352938,76.834,12762.967,10099.025
Philippines,PHL,2022,1.3246514,69.4723,8370.666,5010.1567
Poland,POL,2022,8.20336,77.9229,32468.402,30919.512
Portugal,PRT,2022,3.9092069,81.1936,28992.059,25206.664
Qatar,QAT,2022,37.88961,81.8566,149171.11,195336.34
Romania,ROU,2022,3.8183794,75.2614,26197.904,18791.148
Russia,RUS,2022,11.508876,72.5174,25437.107,59257.91
Rwanda,RWA,2022,0.14337575,67.528,2198.0662,497.91382
Saint Lucia,LCA,2022,2.8977146,72.6699,10452.165,14172.194
Sao Tome and Principe,STP,2022,0.59902877,69.2368,3751.6428,2571.2017
Saudi Arabia,SAU,2022,20.729954,77.3098,53516.91,97902.695
Senegal,SEN,2022,0.8006707,67.7884,2660.6816,2558.0488
Serbia,SRB,2022,6.547047,75.4778,17097.686,26257.111
Seychelles,SYC,2022,5.0101247,71.2481,31055.39,28729.107
Sierra Leone,SLE,2022,0.17441697,61.2748,1690.4982,669.458
Singapore,SGP,2022,8.6610365,82.9211,80320.086,158521.72
Slovakia,SVK,2022,5.771668,77.0356,27519.287,32867.98
Slovenia,SVN,2022,6.017234,80.7933,32673.762,33377.797
South Africa,ZAF,2022,6.8738866,65.4536,11415.887,21580.69
South Korea,KOR,2022,11.719733,82.727,41320.9,69899.45
Spain,ESP,2022,4.8971643,82.3661,34123.387,33289.133
Sri Lanka,LKA,2022,0.80477285,77.2996,10705.481,4265.6963
Sweden,SWE,2022,3.4653375,83.046,47126.13,59279.207
Switzerland,CHE,2022,3.7477124,83.2003,63323.254,33835.207
Syria,SYR,2022,1.3989446,72.7898,2494.7612,4111.719
Taiwan,TWN,2022,11.698872,80.1569,53142.984,56225.938
Tajikistan,TJK,2022,1.0332633,71.5624,5507.5454,4824.7124
Tanzania,TZA,2022,0.30446345,66.8786,3057.3286,1187.1716
Thailand,THA,2022,3.7997093,75.2913,16421.072,19347.238
Togo,TGO,2022,0.30129206,62.2898,1586.5889,1295.5344
Trinidad and Tobago,TTO,2022,25.063381,73.3308,25773.006,115685.42
Tunisia,TUN,2022,2.5401497,76.0505,10913.846,10087.191
Turkey,TUR,2022,5.095457,77.5913,27361.988,22617.557
Turkmenistan,TKM,2022,14.11619,69.9133,17234.555,65250.055
Uganda,UGA,2022,0.12952651,67.6747,2122.0278,663.2023
Ukraine,UKR,2022,3.4846325,72.6582,7749.0996,15074.283
United Arab Emirates,ARE,2022,20.220825,80.4868,77203.67,132096.89
United Kingdom,GBR,2022,4.563232,81.0744,38406.53,29480.258
United States,USA,2022,14.802047,77.9789,58487.465,77627.72
Uruguay,URY,2022,2.212046,76.4682,20181.94,13986.177
Uzbekistan,UZB,2022,3.4089596,72.1465,12559.401,16958.777
Venezuela,VEN,2022,3.8430314,72.5656,5267.1753,22898.904
Vietnam,VNM,2022,3.2368684,74.5025,8050.359,12976.387
Yemen,YEM,2022,0.27218696,67.9517,1959.3195,893.9548
Zambia,ZMB,2022,0.5427949,65.2791,3342.4214,1986.8015
Zimbabwe,ZWE,2022,0.7612047,62.3601,1703.5294,3633.0674
